	RAM	DAPE
824	0.622301695	0.587347526
825	0.621871532	0.590730612
826	0.621736797	0.562996992
827	0.621720172	0.56854053
828	0.621492522	0.588954425
829	0.621110497	0.601255504
830	0.620997497	0.610929074
831	0.620765329	0.642581955
832	0.620342224	0.618469336
833	0.620098533	0.592755556
834	0.619985634	0.565734048
835	0.619942285	0.561860916
836	0.619736255	0.600523885
837	0.619492484	0.579957776
838	0.619477869	0.646016114
839	0.619245659	0.638618688
840	0.619091533	0.579245199
841	0.618777703	0.590461816
842	0.618366265	0.620597191
843	0.618275784	0.570098744
844	0.618248414	0.605739103
845	0.617362066	0.61320151
846	0.617170946	0.563058479
847	0.616476644	0.591841175
848	0.616436536	0.612960465
849	0.615873555	0.580150536
850	0.615790799	0.633970028
851	0.615557757	0.596703435
852	0.615440503	0.56678002
853	0.615235861	0.620441435
854	0.615042245	0.600235541
855	0.614774807	0.566828357
856	0.61419091	0.604585322
857	0.614136499	0.552735609
858	0.613514193	0.557491862
859	0.613354256	0.62208397
860	0.612890095	0.610125498
861	0.612769314	0.595895793
862	0.612714712	0.578547131
863	0.612321586	0.604098842
864	0.611694796	0.547311028
865	0.611610091	0.610443089
866	0.611409624	0.576886882
867	0.611171805	0.643312007
868	0.610759411	0.605847891
869	0.609741916	0.595473475
870	0.609174882	0.555018084
871	0.608632205	0.570414751
872	0.608531099	0.619750424
873	0.608459336	0.574074083
874	0.608395777	0.56472065
875	0.608098362	0.571914134
876	0.607788261	0.612336414
877	0.607677599	0.621794594
878	0.606917397	0.588651487
879	0.606874942	0.556632752
880	0.606578017	0.571590656
881	0.606318654	0.612005399
882	0.60621872	0.565217756
883	0.60527878	0.593302729
884	0.604629644	0.605462767
885	0.604283541	0.574798499
886	0.60425298	0.548697718
887	0.602882794	0.588209133
888	0.60198441	0.582182755
889	0.601708428	0.575317101
890	0.601552051	0.589284631
891	0.601490904	0.610880136
892	0.599421898	0.60812535
893	0.599224154	0.589638684
894	0.598324612	0.560334608
895	0.598315067	0.591469062
896	0.597293721	0.570350521
897	0.596774795	0.596078597
898	0.595748314	0.589720125
899	0.594025639	0.552150818
900	0.593952833	0.559297138
901	0.593472908	0.578100508
902	0.592773643	0.595483476
903	0.592745339	0.584743229
904	0.592682311	0.564703507
905	0.592383813	0.557743777
906	0.591408251	0.59075174
907	0.590208562	0.541196444
908	0.589909101	0.543689023
909	0.589566343	0.616970075
910	0.586580914	0.580418963
911	0.586216197	0.614165274
912	0.585903499	0.561734404
913	0.584939506	0.561460138
914	0.584115957	0.553334536
915	0.583734054	0.556489915
916	0.583363339	0.507185948
917	0.582727959	0.530910059
918	0.58206507	0.572951596
919	0.581759646	0.558738587
920	0.5806778	0.570668267
921	0.580402312	0.553403625
922	0.57913993	0.584900239
923	0.577774506	0.590232314
924	0.576117579	0.564156191
925	0.575325673	0.553491321
926	0.574756994	0.540708473
927	0.572307625	0.589302212
928	0.572132797	0.617336128
929	0.570024867	0.547249577
930	0.567259101	0.545695797
931	0.566464546	0.554817775
932	0.565477942	0.531392726
933	0.563459004	0.544722658
934	0.56231425	0.550465022
935	0.560528412	0.537681621
936	0.560079514	0.544125643
937	0.55884557	0.523473117
938	0.555182181	0.506032146
939	0.552797619	0.519450795
940	0.551090807	0.544368596
941	0.550748807	0.558884773
942	0.549394223	0.507376765
943	0.546526702	0.534104643
944	0.546424716	0.526130433
945	0.545267945	0.538108077
946	0.542729514	0.490563456
947	0.54261731	0.559508835
948	0.539399851	0.526260028
949	0.535233307	0.54881922
950	0.530966653	0.500788498
951	0.530822183	0.544492082
952	0.523313063	0.515406966
953	0.522930849	0.524476975
954	0.52251147	0.493631391
955	0.51907483	0.507025589
956	0.516065896	0.509237436
957	0.514470062	0.481008763
958	0.513014056	0.515411252
959	0.5126592	0.507757053
960	0.510885188	0.506203787
961	0.507433491	0.508369397
962	0.506483669	0.51722172
963	0.504305743	0.496424828
964	0.497075979	0.475732631
965	0.493777785	0.475122296
966	0.492414531	0.480603098
967	0.492294887	0.536447088
968	0.491492157	0.495808089
969	0.488691147	0.458504937
970	0.486565768	0.518815537
971	0.471615664	0.496205739
972	0.469357495	0.518787434
973	0.466906044	0.480406599
974	0.465744996	0.46572018
975	0.463483796	0.48610357
976	0.459238623	0.477786689
977	0.454366946	0.490775649
978	0.453365001	0.48691153
979	0.452340818	0.485205731
980	0.440697387	0.456890891
981	0.43877005	0.423646168
982	0.437876564	0.469239268
983	0.435986599	0.466843957
984	0.430375837	0.467128543
985	0.425654036	0.465417085
986	0.424997206	0.409398319
987	0.423667909	0.480784825
988	0.404539009	0.465228765
989	0.404282849	0.450405511
990	0.401553694	0.434097952
991	0.386905361	0.423913473
992	0.382679787	0.392750313
993	0.376652336	0.427436881
